store_nbr,store_name,latitude,longitude
"3,706",PORTERVILLE CA,36.053346,-119.033229
"1,651","AMERICAN CANYON, CA",38.182987,-122.252632
"6,952",TIMBERVILLE VA,38.630429,-78.775344
"1,534",BISMARCK ND,46.791635,-100.749948
"4,252","FLAGSTAFF, AZ",35.199611,-111.614253
614,LA GRANGE GA,33.059756,-85.031238
"1,181",MARIETTA GA,33.909959,-84.488615
"2,916","EAST MEADOW, NY",40.727007,-73.543756
"1,552",SALISBURY NC,35.655291,-80.466518
421,DECATUR TX,33.228474,-97.597216
"2,667","DALLAS (E), TX",32.793803,-96.689232
179,"SPRINGFIELD, MO",37.180389,-93.352394
341,MARYSVILLE KS,39.843308,-96.605133
"7,009",RICHLANDS NC,34.908058,-77.568021
"5,370","LONGMONT (N), CO",40.205153,-105.098807
"5,968",WASHINGTON DC,38.961986,-77.027284
"3,739","NAMPA (NORTHEAST), ID",43.602987,-116.510934
760,HARDINSBURG KY,37.767909,-86.443368
"2,402","ELKO, NV",40.840816,-115.792428
"3,239","SPRINGFIELD, OR",44.057226,-122.988122
"2,290","OWINGS MILLS, MD",39.406341,-76.766995
430,MAYFIELD KY,36.720985,-88.629795
"1,757",HERMANTOWN MN,46.816999,-92.183851
"4,583","GREENVILLE (NE), SC",34.861739,-82.263765
"4,514","WINCHESTER (S), VA",39.083847,-78.150385
"5,959",HOUSTON TX,29.772821,-95.401322
"2,953","SWANSEA, MA",41.754383,-71.219806
813,BROWNWOOD TX,31.731844,-98.981859
"1,020",ALBERT LEA MN,43.664047,-93.325529
"5,046",CLAYTON NC,35.661809,-78.497502
89,CAMDENTON MO,38.025738,-92.722944
"5,644",IRVINE N CA,33.698795,-117.835662
"1,600",RIDGECREST CA,35.606516,-117.669635
"2,119","MILPITAS, CA",37.431471,-121.921147
"1,332","SOUTH SIOUX CITY, NE",42.473517,-96.430077
586,CONWAY SC,33.857892,-79.091184
"5,418","LOUISVILLE (BASHFORD), KY",38.199176,-85.667473
267,WEBB CITY MO,37.133507,-94.478388
"2,508","BOISE, ID",43.592826,-116.284808
